part_no,slide_seq,layout_type,Headline,Subheadline,Body,CTA,Hook,VisualIdea,split_rule_note
16,1,title_body,3つの原因と解決策（導入）,最幸親子になるには,"「最幸親子」に3ヶ月でなるには「最幸ママ・メソッド（＝ママの心を整える）」すればいい。メソッドとは『しあわせメガネ』で見える世界を変えること。",次へ,結論から先に言う,メガネのイラスト・暖色,
16,2,title_body,メソッドで手に入るもの,,「しあわせメガネ」で、親子ともども自然と自己肯定感が高まる「最幸親子」になる状態が手に入る。,続きへ,,同上,
16,3,bullets,でも待ってください,,ただ単純に「最幸ママ・メソッド」しようとしても、99％の人は失敗してしまう。なぜだと思いますか？,核心へ,期待を一度下げてから本論,ストップサイン・余白多め,
16,4,title_only,3つの落とし穴,,「最幸ママ・メソッド」には3つの落とし穴がある。ここから説明する。,原因①へ,,数字の「3」大きく,
16,5,bullets,失敗しやすいのはどんなママ？,,"つい怒ってしまう悩みがあり、子どもと自分のために成長したい。6歳までのお子さんがいるママが、単純にメソッドだけやろうとすると失敗しやすい。その理由は…",落とし穴①へ,共感→理由へ,ママのシルエット,
16,6,section,落とし穴①,,「最幸親子」になりたいのに、できない一つ目の原因は【子どもを守ることを最優先しているから】。,詳しく,,番号バッジ①・赤み,
16,7,bullets,どういうこと？,,"子どもが心配で、つい手を差し伸べすぎている。ママの都合のいい子にしようとしてしまう（忙しい・回らない悪循環）。",なぜダメ？,,親子の小さなイラスト,
16,8,title_body,なぜ最幸親子になれないのか,,「ほめ方を学んでいる」とメソッドを並行しても、手を差し伸べすぎると、子どもの成長のチャンスを奪ってしまうことがある。,解決策へ,,因果の矢印,
16,9,title_body,解決策①,,【見守り方を学ぶ】。子どもを信じて待てるようになる。,どう変わる？,,「見守り」キーワード,
16,10,title_body,なぜ効くのか,,見守れると、子どもはママの指示ではなく自分の感覚で動ける。自分で体験して「できる」感覚が育つ。,続きへ,,チェックマーク,
16,11,bullets,同じ出来事でも…,,意味づけが変わる。感情反応が変わる。子どもへの関わり方が変わる。,落とし穴②へ,,3行箇条書き,
16,12,section,落とし穴②,,実はそれだけでは足りない。もう一つの原因は【ほめ方を学んでいるから】。,詳しく,,番号バッジ②,
16,13,title_body,どういうこと？,,ほめることで、子どもをコントロールしようとしている。,なぜダメ？,,,
16,14,title_body,なぜ最幸親子になれないのか,,ほめ方に寄りすぎると、思いどおりに動くことを子どもに求め、自立が遅れることがある。,解決策へ,,,
16,15,title_body,解決策②,,【実況アナウンサーになる】。出来事をそのまま言葉にする。目の前の子どもにインタビューする。,なぜ効く？,,マイクの比喩,
16,16,title_body,なぜ効くのか,,実況には親の価値観や基準を入れず、子ども自身を大切にできる。ジャッジせず、自主性を守れる。,落とし穴③へ,,,
16,17,section,落とし穴③（真の原因）,,①②だけでは足りない。真の原因は【自分より子どもを優先しているから】。,詳しく,,番号バッジ③,
16,18,title_body,どういうこと？,,ママ自身を後回しにし、子ども優先で、ママの心が満たされない状態になっている。,なぜダメ？,,,
16,19,title_body,なぜ最幸親子になれないのか,,自分の心が満たされないと、本当の意味で子どもに愛情を注ぎ続けられない。,解決策へ,,,
16,20,title_body,解決策③,,【ママファースト】。自己犠牲をやめ、自分の心の声に耳を傾け、自分をまず大切にする。,なぜ効く？,,ハートのアイコン,
16,21,title_body,なぜ効くのか,,ママの心の状態は子どもに直に影響する。ママが心を満たすと、溢れた愛情で子どもも満たせる。,続きへ,,親子の並び,
16,22,title_body,どう関わりが変わるか,,ママが心に余裕がある状態で関われると、親子ともに幸せになりやすい。ここまでが「3つの原因と解決策」。,次パートへ,パート16の締め,穏やかな背景,
