part_no,slide_seq,layout_type,Headline,Subheadline,Body,CTA,Hook,VisualIdea,split_rule_note
19,1,title_body,実践3つのステップ（パート19）,このパートで何が起きるか,"曇ったメガネに気づく→しあわせメガネに替える→定着癒しで関わりを無意識レベルまで落とす。3ステップで進む。",Step1へ,具体メソッドの全体像,123のステップ・横並びアイコン,原稿「step詳細」冒頭の全体像
19,2,section,Step1のゴール,,"「今かけている曇ったメガネに気づく」で、自分がどんな心のメガネで子どもを見ているか気づけるママになる。",事例へ,,,ステップバッジ①,行96
19,3,bullets,ビフォーアフター（例）,,"娘が自分の気持ちを話すようになった。自分を振り返る習慣ができた（なみこさん）など。",続きへ,,,吹き出し1つ,行97
19,4,bullets,感情・生活の変化（例）,,"子どもへの爆発的な怒りが激減（ちかさん）。イライラが減少（なみこさん）。",続きへ,,,,行98
19,5,bullets,できるようになること（例）,,"子どもの気持ちを考えられるようになった（まやさん）。",なぜ最初？,,,,行99
19,6,title_body,なぜ最初にこれをやるのか,,"見え方が変わらない限り、関わり方は変わらない。",壁へ,,,眼鏡の比喩,行100
19,7,bullets,つまずきやすい壁,,"自分を責めるだけで、行動を変えられない。",本質へ,,,,行101
19,8,title_body,それはなぜか,,"曇ったメガネに気づけていないから。",つまり,,,,行102
19,9,title_body,つまり,,"今の感情や行動は、出来事そのものではなく【見え方】の問題。見え方が変われば感じ方も変わる。",心の準備へ,,,,行103
19,10,title_body,心の準備,,"「自分が悪い母親だから」と決めつける前に、どんなメガネ（思考のクセ）で見ているか立ち止まって考える。",メソッド名へ,,,,行104-105
19,11,title_body,心のメガネ発見,,"具体的に「心のメガネ発見」メソッドを実践する。子どもへの反応の裏にある思考のクセを見つけるワーク。",3つの手順へ,,,,行106-107
19,12,bullets,手順1,,"最近、子どもにイライラしたことを書き出す。",手順2へ,,,ワークシート欄,行108
19,13,bullets,手順2,,"そのとき、心の中にあった思いや感情に気づく。",手順3へ,,,,行109
19,14,bullets,手順3,,"それらがどんな「心のメガネ」なのか理解する。",メリットへ,,,,行110
19,15,title_body,なぜこのメソッドで変われるのか,,"説明へ進む：なぜ「冷静に見守れる」につながるか。",続きへ,,,,行111
