"Headline","Subheadline","Body","CTA","Hook","VisualIdea"
"最幸ママ・アカデミー","たった3ヶ月で親子ともども自己肯定感が高まる「最幸親子」へ","つい怒ってしまうママへ。子どもと自分のため、しっかり成長したい6歳までのママ向け。","本編へ進む","ファネル1本で伝える子育ての本質","柔らかいベージュ＋緑／親子のシルエット・朝の光"
"今日お伝えすること","ママの心の状態が、親子関係も子どもの自己肯定感も決める","子どもの接し方のテクニック以前に、ママの心の状態が土台です。","次へ","なぜ「わかっているのにできない」のか","左：イライラ／右：穏やかなママの対比・シンプル図解"
"得られる未来（what）","親子ともども自然と自己肯定感が高まる「最幸親子」に、3ヶ月でなる","怒る回数が減り、認め合え、子どもも安心して自分を表現できる関係へ。","続きを見る","努力だけでは変わらない領域がある","笑顔の親子・明るいリビング・余白多め"
"ワンシング","最幸ママ・メソッドをするだけでOK（＝ママの心を整える）","子どもを変えるのではなく、ママの見え方と心の使い方を整えます。","核心に入る","やることはシンプル。深いところだけ整える","中央に「メソッド」1語・周囲に矢印3本（3ステップ）"
"こんなお悩み、ありませんか？","本を読んでも、SNSを見ても、日常では同じ怒りが返ってくる","褒める・受け止めるを試すが忙しさで破綻。我慢して爆発し、自己嫌悪…。","共感パートへ","あなただけではありません","箇条書き3つまで・ママの独白風・落ち着いた色"
"あなたが悪いわけではない","意志や努力だけでは変わらない領域がある","イライラは愛情不足ではなく、自己否定・罪悪感・焦り・完璧主義で心が緊張したままだから。脳はストレスモードを繰り返す。","本質の説明へ","知識が足りないのではない","緊張した線画→ほどける線画のビフォアアフター"
"なぜ「ママの心」なのか","自己肯定感は褒められた量ではなく、家庭の安心感の中で育つ","安心・受容・信頼があると、子どもは「大丈夫」「自分には価値がある」と感じやすくなる。","論理の核心へ","家庭の空気が子どもの土台","家の中に「安心」の文字＋小さなアイコン3つ"
"必要なのは「安心できる家庭の空気を作れるママの状態」","そのために「自分を責めない心の状態」をつくる","ママが整うと、無理に頑張らなくても怒りが減り、認められ、子どもも安心する。","メソッド定義へ","原因は子どもではなく、見え方","ママ→家庭→子ども の矢印図（縦）"
"最幸ママ・メソッドとは","『しあわせメガネ』で見える世界を変える","曇ったメガネ（思い込み）を外し、しあわせメガネに掛け替え、定着まで伴走する方法です。","3ステップへ","定義を一言で","メガネのアイコン2つ（曇り／クリア）"
"3つのステップ（目次）","①曇ったメガネに気づく ②しあわせメガネに掛け替える ③定着癒しで最幸親子へ","今かけている思い込みに気づき、思考をリセットし、関わりを脳レベルで定着させます。","各ステップの詳細へ","順番が大事","123の番号バッジ・横並び"
"変化の事例（抜粋）","ビフォーアフターの声","例：イライラ激減・自分を振り返る習慣・子どもの気持ちを考えられるように。","再現性のイメージへ","数字がすべてではないが、道筋はある","吹き出し2〜3個・実名はイニシャル可"
"本編の論理（導入）","whoがwhatになるには、ワンシング＝最幸ママ・メソッドに集中","つい怒るママが、3ヶ月で最幸親子になるには、ママの心を整えることにフォーカスする。","論理展開へ","論理の地図を見せる","who / what / ワンシング の三角形図"
"一枚図：メガネの比喩","同じ行動でも、メガネが違えば見え方が違う","ダメな母親・ちゃんとしなくちゃ…などの思い込みのままだと、子どもの行動が「直さないといけないこと」に見える。","気づきワークへ","見え方が感情をつくる","眼鏡アイコン＋矢印＋言葉の吹き出し"
"思い込みの言い当て","ほめ方・我慢・コントロールでは、根本が動かないことがある","褒めで子どもを動かそうとしたり、手を出しすぎたり、自分を後回しにしたり…。それぞれに落とし穴がある。","落とし穴へ","常識が逆効果になることがある","注意アイコン・短文3つ"
"3つの落とし穴（要約）","①手を出しすぎ ②褒めでコントロール ③自分より子ども優先で心が枯れる","解決の方向：見守り／実況（ジャッジしない）／ママファースト。","解決策の方向へ","99%がつまずく理由を先に言う","3カラム（落とし穴→解決の矢印）"
